<Header>
User name: 
Location: 
Model: 1.109
Serial No.: 9G100048
Firmware revision: 12.30E
Software revision: 5-1 Rev IV (12-04-2017)
Unit: ug/m3
C-factor: 1.00
Comment: 
online data
<Data>
[d&t12/31/2035 11:50:55 AM]	PM10 [ug/m3]	PM2.5 [ug/m3]	PM1 [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Alveolic [ug/m3]
2/12/2019 4:35:34 AM	8.1	8.1	8.1	8.1	8.1	8.1
2/12/2019 4:35:40 AM	8.7	8.7	8.5	8.7	8.7	8.7
2/12/2019 4:35:46 AM	10.1	9.1	8.2	10.1	10.1	9.5
2/12/2019 4:35:52 AM	9.7	9.3	8.0	9.7	9.7	9.5
2/12/2019 4:35:58 AM	8.2	8.2	7.8	8.2	8.2	8.2
2/12/2019 4:36:04 AM	8.3	8.3	8.2	8.3	8.3	8.3
2/12/2019 4:36:10 AM	8.0	8.0	8.0	8.0	8.0	8.0
2/12/2019 4:36:16 AM	8.4	8.4	7.9	8.4	8.4	8.4
2/12/2019 4:36:22 AM	10.8	9.6	8.3	10.8	10.8	10.2
2/12/2019 4:36:28 AM	8.2	8.2	8.2	8.2	8.2	8.2
2/12/2019 4:36:34 AM	8.3	8.3	8.3	8.3	8.3	8.3
2/12/2019 4:36:40 AM	8.6	8.6	8.4	8.6	8.6	8.6
2/12/2019 4:36:46 AM	15.8	8.2	7.8	20.7	14.9	8.4
2/12/2019 4:36:52 AM	8.9	8.9	8.6	8.9	8.9	8.9
2/12/2019 4:36:58 AM	8.1	8.1	8.0	8.1	8.1	8.1
2/12/2019 4:37:04 AM	7.9	7.9	7.9	7.9	7.9	7.9
2/12/2019 4:37:10 AM	11.8	8.4	7.9	11.8	11.5	8.9
2/12/2019 4:37:16 AM	10.7	9.3	7.7	10.7	10.7	9.9
2/12/2019 4:37:22 AM	8.3	8.3	8.0	8.3	8.3	8.3
