Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
05/02/2019,3.5,1.5,1.4,1.4,7.4,7.3,8.1,8.2,6.9,2.4,2.9,2.4,3.4,4.7,2.9,1.9,8.7,4.8,3.7,6.4,4.5,7.4,9.6,4.0
05/03/2019,5.2,5.8,5.9,6.9,5.4,7.7,9.1,9.4,12.2,8.4,5.9,1.9,1.7,3.7,4.5,7.1,7.0,7.5,10.9,9.6,8.7,8.6,4.8,3.8
05/04/2019,3.6,3.7,2.4,3.3,4.4,3.9,4.6,4.2,3.7,4.2,3.5,2.5,2.8,3.2,2.7,3.8,4.7,4.2,4.2,4.6,4.7,5.2,6.4,5.0
05/05/2019,6.2,6.0,7.1,6.9,7.6,7.5,5.5,5.3,6.2,7.3,6.1,5.0,6.1,5.9,5.6,5.5,5.9,5.4,6.5,10.5,8.5,8.5,5.7,5.9
05/06/2019,6.4,7.2,12.5,10.8,11.9,11.6,10.4,11.3,9.9,8.0,8.2,6.3,4.9,6.1,6.0,4.8,5.6,5.9,6.3,7.4,9.4,7.7,4.9,6.1
05/07/2019,7.7,7.6,8.7,9.9,9.0,8.7,9.8,10.0,10.1,11.0,11.0,11.6,10.5,9.5,9.0,9.9,10.7,11.4,8.1,6.4,7.1,4.8,3.4,6.2
05/08/2019,4.3,5.7,7.2,5.6,1.9,2.3,12.6,5.3,4.2,3.0,1.2,5.7,3.7,3.8,4.3,4.9,3.0,3.1,3.7,4.9,6.9,5.8,5.0,4.2
05/09/2019,4.7,5.8,6.7,7.7,4.6,5.5,5.8,4.7,3.9,7.8,8.8,6.0,3.1,2.7,4.9,3.0,3.7,6.0,3.4,4.0,5.1,7.4,3.5,1.5
05/10/2019,3.6,1.3,2.3,1.3,1.0,1.6,2.5,2.8,2.1,1.2,1.1,1.9,2.3,3.4,4.1,3.6,5.0,5.0,5.9,4.9,5.1,4.8,2.5,5.9
05/11/2019,3.3,1.4,1.1,1.3,2.1,5.9,2.7,3.7,4.5,3.1,3.3,2.1,1.6,3.0,1.4,1.9,2.9,2.7,3.6,3.5,4.4,4.7,3.6,3.6
